"Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","b1_9_rep","b1_7","b1_2","b1_3","b1_6","b1_pool","b1_5","b1_1","b1_9","b1_4","b1_8","b1_10","b2_4","b2_8","b2_6","b2_9","b2_3","b2_1","b2_10","b2_7","b2_2","b2_pool","b2_5","b2_9_rep"
"P05160","P05160","F13B_HUMAN","F13B","Coagulation factor XIII B chain",8093.51,9504.32,10394.9,4278.3,12119.2,6506.56,13836,9768.97,3186.77,9264.49,5669.08,1686.66,8854.23,13621.8,5706.39,7304.88,7947.81,6038.58,2475.62,5994.44,10047,3167.51,7134.19,10758.2
"P05164;P05164-2","P05164-2;P05164-3;P05164","PERM_HUMAN","MPO","Myeloperoxidase",365561,99139.5,199992,122249,100718,160969,136681,146203,371855,121176,120077,244922,111522,67150.4,128049,120514,69877.1,115739,95541.9,109816,95830.1,160209,178886,124905
"P05165;P05165-2;P05165-3","P05165-2;P05165-3;P05165","PCCA_HUMAN","PCCA","Propionyl-CoA carboxylase alpha chain, mitochondrial",NA,NA,6981.03,NA,NA,5616.19,5335.34,NA,3608.33,2742.72,NA,NA,3070.34,NA,NA,NA,NA,1683.16,NA,NA,615.842,8852.07,NA,NA
"P05166;P05166-2","P05166-2;P05166","PCCB_HUMAN","PCCB","Propionyl-CoA carboxylase beta chain, mitochondrial",NA,2605.47,18061.4,14257,NA,13035.8,66208.6,NA,NA,25783.9,NA,4792.35,20873.9,NA,7125.41,12405,13471,5533.91,9065.1,5533.52,4263.19,13913.5,11846.8,NA
"P05187","P05187;P09923","PPB1_HUMAN","ALPP","Alkaline phosphatase, placental type",18137.4,11297.1,12114.9,11701.7,18357.5,16637.7,10888.9,12145,21557.9,17267.3,28759.6,22781.2,13237.9,13679.2,26427.1,9540.44,14662.9,4437.72,11122.8,9118.23,15392.3,13906.1,16991.9,10132.7
"P05198","P05198","IF2A_HUMAN","EIF2S1","Eukaryotic translation initiation factor 2 subunit 1",1791.63,4267.72,10835.4,6103.78,NA,1935.08,NA,3498.83,NA,5398.61,2636.94,NA,5012.03,1965.93,NA,4156.67,17604.9,8642.03,2980.79,3671.37,3523.2,7533.1,5168.42,NA
"P05362","P05362","ICAM1_HUMAN","ICAM1","Intercellular adhesion molecule 1",1063.81,2149.86,NA,2201.65,NA,NA,4874.81,2396.82,5972.91,7928.48,3455.56,NA,1057.71,3287.77,NA,NA,NA,3394.98,3037.91,3143.67,NA,5209.35,4682.54,3342.76
"P05387","P05387","RLA2_HUMAN","RPLP2","60S acidic ribosomal protein P2",NA,8109.2,5902.01,11534.1,6086.66,9302.8,6853.93,7908.34,4974.01,9356.48,5463.15,31180.1,NA,NA,8651.69,3231.74,5182.31,11729.1,12621.6,3199.15,22624.5,8131.81,5633.69,5002.41
"P05413","P05413","FABPH_HUMAN","FABP3","Fatty acid-binding protein, heart",14288.4,14459.9,8054.05,11732.4,28714.8,12213.9,37323.3,27821.5,23035.4,14454.9,11039.9,39453.1,20792.5,24347.9,17434.5,22830.9,18685.2,6812.38,25794.9,13320.9,30051,24069.5,16743,15860.1
"P05452","P05452","TETN_HUMAN","CLEC3B","Tetranectin",4700420,3819890,1292950,2452440,2099740,3170980,1735980,2346220,4340380,3408110,4510060,4908710,1860620,2731290,4226530,2809800,1269290,1194520,3646470,4855910,2504700,3281200,2420780,2773740
"P05543","P05543","THBG_HUMAN","SERPINA7","Thyroxine-binding globulin",35639.8,49418.2,13869.3,36982.4,37506.7,54807.5,30997.1,28490.5,43017.3,29123.7,52503.5,52541.6,29661.7,26823.6,31714.9,33910.4,44906.3,17418.5,45122.7,29547.7,37131.8,37719.7,31928.7,28180.9
"P05546","P05546","HEP2_HUMAN","SERPIND1","Heparin cofactor 2",2990600,3364110,1315130,2400410,1950950,2606280,1853440,2748380,2887790,1732100,2616020,3145380,2027480,2685870,2952400,2147920,3018200,2554070,1759900,3963810,3201140,2752530,1675900,2355240
"P05556","P05556","ITB1_HUMAN","ITGB1","Integrin beta-1",63352.8,55319.8,648919,193111,55310.5,173486,194760,165816,70221.1,67946.3,47160.7,52852.4,130863,21550.7,37387,22153.2,166370,226166,27975.3,22930.2,30843.6,153737,50376.8,49374.1
"P05771;P05771-2","P05771-2;P05771","KPCB_HUMAN","PRKCB","Protein kinase C beta type",7373.49,7591.56,92869.1,27075,7535.62,21217.9,21189.2,19799.5,10394.2,7480.02,4235.48,NA,17948.9,NA,4060.8,NA,25730,27038.1,5911.25,NA,NA,17689.4,8218.2,4523.31
"P05783","P05783","K1C18_HUMAN","KRT18","Keratin, type I cytoskeletal 18",5587.62,NA,NA,3656.29,1827.33,2118.39,391.065,6306.1,NA,1352.06,433.009,2627.99,NA,NA,NA,8644.79,NA,NA,2469.42,NA,2136.31,1699.01,1862.31,7696.35
"P05787;P05787-2","P05787-2;P05787","K2C8_HUMAN","KRT8","Keratin, type II cytoskeletal 8",NA,NA,NA,6298.36,2465.26,NA,3037.66,4596.47,NA,3141.1,1362.36,7948.46,NA,NA,10141.7,6644.33,NA,NA,5957.26,NA,6241.65,3823.22,NA,5607.71
"P05814","P05814","CASB_HUMAN","CSN2","Beta-casein",NA,NA,5793.87,NA,4504.03,NA,NA,3522.93,2022.41,NA,5205.38,NA,NA,4888.17,5641.03,6520.75,11488.5,5530.39,NA,1844.4,9408.84,NA,NA,10875.2
"P06132","P06132","DCUP_HUMAN","UROD","Uroporphyrinogen decarboxylase",2266.31,NA,3523.15,1627.38,1360.79,831.614,NA,5464.41,NA,2635.67,3200.98,NA,NA,NA,2076.24,NA,4274.83,3687.83,NA,469.406,2248.37,4721.45,601.804,NA
"P06241-2","P06241-2;P06241-3;P06241","FYN_HUMAN","FYN","Isoform 2 of Tyrosine-protein kinase Fyn",1817.18,51465.8,46074.2,12101,NA,13980.5,13585.8,12996.3,5007.83,2419.56,302.941,4248.72,15079.4,1591.38,6045.13,NA,5240.14,16775.6,2317.6,NA,NA,13561.5,NA,NA
"P06276","P06276","CHLE_HUMAN","BCHE","Cholinesterase",4569.86,5077.94,1972.8,4920.38,8271.24,4434.01,NA,NA,7068.18,8892.15,NA,4410.5,2434.71,8048.75,5579.49,6259.29,NA,NA,NA,3082.98,3238.63,7871.73,1090.67,2077.14
"P06280","P06280","AGAL_HUMAN","GLA","Alpha-galactosidase A",2819.53,NA,1081.33,NA,NA,2295.87,NA,1505.79,2048.39,1810.07,1359.97,NA,NA,NA,NA,1094.95,3959.13,931.038,NA,NA,NA,1140.52,2362.04,NA
"P06312","P06312","KV401_HUMAN","IGKV4-1","Immunoglobulin kappa variable 4-1",48229.5,134009,43327.8,116456,124740,86702.1,77480.9,55482.2,45101.8,72314.1,93962.5,121329,56891.1,78763.7,113199,105291,109698,32884.6,66005.5,134986,87063.8,51645.7,100453,86298.2
"P06396","P06396","GELS_HUMAN","GSN","Gelsolin",196569,224681,138104,178419,130043,242939,104760,243248,196939,232524,305370,193037,116572,184996,292364,233424,196563,147981,225081,387422,253526,236237,205120,255637
"P06576","P06576","ATPB_HUMAN","ATP5F1B","ATP synthase subunit beta, mitochondrial",59764.6,59949.8,155960,66424.9,50291.5,66447.1,76461.5,63731.6,67193.7,54762.2,47981.8,85915.8,58240.2,41814.9,45383.5,42995.1,62251.6,88025.5,38248.8,33918.8,47708.1,67648.5,45593.1,51884.6
"P06681","P06681-3;P06681","CO2_HUMAN","C2","Complement C2",250489,297349,133989,235288,367999,315220,353480,305858,271295,302365,271107,244725,302357,284566,285718,377560,253493,178019,335719,328016,265981,280570,301290,399440
"P06702","P06702","S10A9_HUMAN","S100A9","Protein S100-A9",119267,85562.6,56409,37841,120344,235759,70147.1,139411,98484.7,158173,168476,98440.4,126670,115311,156297,208635,406953,77457.4,109110,127942,1670410,221880,159783,204791
"P06727","P06727","APOA4_HUMAN","APOA4","Apolipoprotein A-IV",2864760,3771330,2374910,2626490,4406770,3991530,2300080,6349990,2850910,2052490,3657330,3939130,4837930,3863940,3969210,3728810,3559660,3062900,2814860,4603640,3946280,3974090,4941930,3702130
"P06730;P06730-2;P06730-3","P06730-2;P06730-3;P06730","IF4E_HUMAN","EIF4E","Eukaryotic translation initiation factor 4E",1971.26,NA,30268.7,9175.41,3764.59,8863.17,NA,6985.73,NA,NA,1053.45,NA,4385.69,NA,1625.25,4372.84,15617.2,13075.5,NA,NA,2240.65,8856.31,3455.28,NA
"P06732","P06732","KCRM_HUMAN","CKM","Creatine kinase M-type",16424.9,19061.6,7650.72,6119.98,12525.6,8771.53,10763.8,11068.8,15957.2,9534.8,15745.8,16871.5,6560.33,14567.9,8434.79,12168.5,8737.52,7698.88,8203.48,10090.5,14632.3,9567.68,9266.61,17752.5
"P06733","P06733-2;P06733","ENOA_HUMAN","ENO1","Alpha-enolase",76771,46550.8,234942,200168,70397.3,133789,253368,158336,68966,164005,54310.2,64872.1,105715,53615.4,56958,94741.3,177275,144636,79157.3,57406.4,96521.4,132300,69774.3,106137
"P06737","P06737-2;P06737;P11216;P11217-2;P11217","PYGL_HUMAN","PYGL","Glycogen phosphorylase, liver form",10659.8,10581,53290.2,19513.6,10188.3,21235.8,34670.8,18732.6,14427.4,44496.9,7501.12,11834.1,16968.1,11022.2,6779.7,9747.23,24032.2,18512,6242.65,9262.56,12986.4,18349,13043,11014.9
"P06744;P06744-2","P06744-2;P06744","G6PI_HUMAN","GPI","Glucose-6-phosphate isomerase",1796.6,NA,1339.33,3479.16,3002.33,366.554,1349.18,2303.37,2765.9,1866.67,NA,NA,4677.3,NA,2659.01,3702.75,8240.04,2506.75,NA,3848.97,2432.3,2029.48,2951.21,4536.43
"P06753-2","P06753-2;P06753-5;P06753-7","TPM3_HUMAN","TPM3","Isoform 2 of Tropomyosin alpha-3 chain",118704,88104.2,751782,244299,124253,246887,162195,252324,136753,95858.2,107124,132732,284842,72064.2,63732.2,122517,358500,473726,90388.9,79376.1,116212,220967,215495,205010
"P06756;P06756-2;P06756-3","P06756-2;P06756-3;P06756","ITAV_HUMAN","ITGAV","Integrin alpha-V",4344.08,NA,14914.7,2147.31,NA,4475.74,2949.94,NA,NA,4702.09,NA,NA,NA,NA,NA,NA,5374.83,4920.06,NA,NA,NA,NA,NA,NA
"P06850","P06850","CRF_HUMAN","CRH","Corticoliberin",246902,40963.5,23921.1,114794,91905.5,97804.2,96482,60488.7,229569,54708.2,112770,38616.3,113983,138755,94003.7,166406,201466,15748.8,150551,29986.6,168954,107454,148972,135448
"P06858","P06858","LIPL_HUMAN","LPL","Lipoprotein lipase",25353,20752.1,18010.4,16589,22568,20911.1,12196.8,23142.2,28956,26867.4,24678.8,15806.9,5581.6,25627.7,31212.5,13344.5,26336.6,16240.4,14906.2,27320.4,25969.4,28218.7,15820.8,20109.7
"P06865","P06865-2;P06865","HEXA_HUMAN","HEXA","Beta-hexosaminidase subunit alpha",7986.85,6364.08,11272,10412.3,12649.4,6135.71,7483.64,11508.7,2976.84,6998.13,8621.96,20675.2,12033.3,7089.84,12964.7,6535.19,9027.67,10255.4,NA,8507.79,13639.8,13197.9,10450.5,21627.4
"P06899;P23527;P33778;Q16778","P06899;P23527;P33778;Q16778;Q6DN03;Q6DRA6;Q8N257","H2B1B_HUMAN;H2B1J_HUMAN;H2B1O_HUMAN;H2B2E_HUMAN","H2BC11;H2BC17;H2BC21;H2BC3","Histone H2B type 1-J",24962.9,2834.21,15405.9,NA,9030.23,11753.4,NA,4736.59,17903.4,11887.6,7020.72,6397.79,679.773,2761.23,7079.7,1808.66,4455.66,5054.66,4291,NA,5806.59,9311.25,4133.64,NA
"P07093-2;P07093-3","P07093-2;P07093-3;P07093","GDN_HUMAN","SERPINE2","Isoform 2 of Glia-derived nexin",28810.9,4641.06,38360.8,41966.7,14760.3,14954.5,33095.6,36273,34041.8,13083.4,10808.5,41398.9,25337.8,24083.8,14239,23856.4,10962.7,45753.9,11341.6,5534.55,13186.6,18539.1,8797.15,20579.1
"P07099","P07099","HYEP_HUMAN","EPHX1","Epoxide hydrolase 1",NA,NA,27419.1,13412.7,NA,NA,NA,NA,12510.1,NA,61591.2,NA,NA,NA,NA,NA,70929.4,15147.5,10398,NA,NA,15434.7,NA,NA
"P07195","P07195","LDHB_HUMAN","LDHB","L-lactate dehydrogenase B chain",33890.7,35360.4,70351,71488.9,55328.9,55764.5,28658.4,56518,33155.9,42849.8,31610.3,19034.8,41560,46558,53217.7,43567.8,57709.9,57823.3,29589.1,55696.2,71034,53798.1,33685,46154.5
"P07203","P07203","GPX1_HUMAN","GPX1","Glutathione peroxidase 1",17039,17650.5,277941,56502.4,14688.9,40392.5,49240,44351.1,20960.7,9289.29,11084.4,13346.6,34705.6,9664.76,8964.88,4365.77,49324,87015.4,19471.9,4377.66,25951,55386.4,18317.3,34528.2
"P07225","P07225","PROS_HUMAN","PROS1","Vitamin K-dependent protein S",140076,180995,138872,130129,173997,170067,143199,209472,164073,159363,162902,123149,158083,166763,155000,157922,111621,130119,164087,145646,134703,174167,153120,168621
"P07237","P07237","PDIA1_HUMAN","P4HB","Protein disulfide-isomerase",7108.8,7451.35,8546.16,4971.06,6601.24,14814.6,7492.76,10473.8,11121.2,8366.24,7702.6,16025.4,10953.7,13153.5,6544.04,12929,7766.55,13751.6,6129.18,7593.63,19152.5,7833.03,7975.89,12613
"P07327","P07327","ADH1A_HUMAN","ADH1A","Alcohol dehydrogenase 1A",NA,NA,NA,NA,NA,2979.9,21632.6,3238.94,NA,49912.5,NA,NA,NA,NA,NA,NA,757.895,NA,NA,NA,NA,5255.09,NA,1741.27
"P07332;P07332-4","P07332-2;P07332-3;P07332-4;P07332","FES_HUMAN","FES","Tyrosine-protein kinase Fes/Fps",NA,NA,22845.7,2051.03,NA,NA,13917.1,10005.9,NA,NA,NA,NA,20132.8,NA,NA,NA,13427.3,15978,NA,NA,NA,8319.96,9756.96,NA
"P07339","P07339","CATD_HUMAN","CTSD","Cathepsin D",71316.2,100483,76693.3,87020.5,174758,163330,117747,103478,86939.4,230102,181121,109956,201308,118809,144448,212442,146806,199755,76733.3,116951,133762,156860,211307,168326
"P07355;P07355-2","A6NMY6;P07355-2;P07355","ANXA2_HUMAN","ANXA2","Annexin A2",40164.7,29644.2,26683.3,24173.2,59639,62950.6,33955.5,59790.5,35151.5,78203,66064,28640.8,61393.1,37932.6,66102.1,68548.5,68756.7,66934.8,27520.7,37660.8,186774,61284.2,94141,76926.6
"P07357","P07357","CO8A_HUMAN","C8A","Complement component C8 alpha chain",267570,243001,98519,162690,200386,222456,214660,294561,256269,164481,421994,224458,195069,180691,180524,288029,210606,155436,232177,243931,183239,241949,218595,283682
"P07358","P07358","CO8B_HUMAN","C8B","Complement component C8 beta chain",1066820,1260980,331058,565369,662388,1046350,1472580,776535,1043250,1392780,896140,1114580,1098710,717171,819306,868378,390522,465635,856624,1093420,635059,951849,852349,924519
"P07359","P07359","GP1BA_HUMAN","GP1BA","Platelet glycoprotein Ib alpha chain",207151,159061,3538570,1012480,147670,711573,679006,789777,194077,262384,96567.3,105278,649786,49385,76900.7,55363.6,729380,985091,69202.5,12956,79454.3,684583,156151,62822.4
"P07360","P07360","CO8G_HUMAN","C8G","Complement component C8 gamma chain",243321,195222,112541,145344,212343,235764,288500,276121,254246,178665,140740,243361,244314,217728,215142,328079,179092,110050,246763,186904,209817,221836,233443,316908
"P07384","P07384","CAN1_HUMAN","CAPN1","Calpain-1 catalytic subunit",34228.1,39226.1,278232,124757,52291.6,94435.2,85108.7,110696,30414.7,70689,44208.7,32652.3,73009.2,39585.5,40837.7,51029,133900,123750,35094.4,35295.3,56254.8,101579,68724.2,50041.6
"P07437","P04350;P07437;P68371","TBB5_HUMAN","TUBB","Tubulin beta chain",123360,93338.9,2401900,599486,111590,448447,438853,456462,115396,122153,64493,75833.4,344725,24665.7,51557.7,63263.5,472497,709593,51795.2,9812.52,113681,470223,120439,76144.8
"P07451","P07451","CAH3_HUMAN","CA3","Carbonic anhydrase 3",133592,NA,NA,NA,NA,21869.4,NA,NA,121025,80916.4,NA,217581,NA,NA,NA,NA,6164.31,NA,NA,NA,1297.29,27923.7,NA,NA
"P07476","P07476","INVO_HUMAN","IVL","Involucrin",NA,2480.87,NA,NA,NA,935.461,NA,NA,NA,4654.18,2176.54,NA,NA,NA,NA,NA,6233.74,9198.62,NA,NA,6540.37,NA,4227.77,NA
"P07477","P07477","TRY1_HUMAN","PRSS1","Serine protease 1",71318.5,127315,21371.5,10169.7,39661.3,59679.3,13411.6,56456.8,72091.7,15905.5,121836,202321,98344,236181,22673.5,131347,29746.8,20061.8,113842,38302.1,20827.3,53779.5,51569.9,135484
"P07478","P07477;P07478;Q8NHM4","TRY2_HUMAN","PRSS2","Trypsin-2",79687.6,67238.4,42653.7,33134.2,75483.1,90331.5,73004.3,110445,54675.1,70567.1,52395.8,58310.4,123235,81934.7,148701,106485,75227.7,60689.8,176667,35919.7,117012,91337.2,63465.6,113978
"P07585","P07585","PGS2_HUMAN","DCN","Decorin",11068.6,10772.1,7759.15,8060.25,4817.04,7746.45,7313.61,8966.33,7949.2,5206.14,7779.05,11700.9,4977.54,11300,12577,11558.9,8432.64,5719.63,6256.28,8577.51,8007.35,9027.77,6342.37,7028.27
"P07686","P07686","HEXB_HUMAN","HEXB","Beta-hexosaminidase subunit beta",19544.1,12597.1,22734.9,19111.2,12545.4,19369.8,17648.8,22176.6,14438.1,19508.9,28868.7,8762.48,12235.9,9946.43,18414.8,14583.9,28286.4,16051.1,11969.1,17534.5,15924.6,18984.9,16592.1,14096.8
"P07737","P07737","PROF1_HUMAN","PFN1","Profilin-1",66791.6,60724.5,464974,476162,67758.8,166222,127612,201011,66284.3,72084.2,40668.2,46360.6,91739.9,23986.2,42089.2,49622.9,215333,302484,46529.3,29488.4,69174.8,179155,44202.8,56013.9
"P07741;P07741-2","P07741-2;P07741","APT_HUMAN","APRT","Adenine phosphoribosyltransferase",9055.83,7871.1,43995,37750.7,8064.84,21864.1,44188.7,25561.5,9390.49,20560.6,9650,3572.62,27629.2,4348.34,6312.67,12398.8,39357.6,38239,16534.6,11431.1,9356.03,24755.3,18775.9,10547.9
"P07814","P07814","SYEP_HUMAN","EPRS1","Bifunctional glutamate/proline--tRNA ligase",9506.94,5135.87,32468.1,12359.6,4735.26,15194.2,17845.5,11366.2,6054.39,31462,5976.78,5996.19,12201.3,13449,5509.39,4885.22,13775.3,14350,5010.77,3777.36,11212.6,12015.8,7074.96,7104.59
"P07858","P07858","CATB_HUMAN","CTSB","Cathepsin B",7007.68,NA,3477.9,1957.57,8689.35,8314.98,3757.32,5118.8,5664.18,8599.38,12579.1,1482.85,5233.92,4448.58,4358.95,4773.18,14234.6,8761.25,NA,6392.44,12725.1,7732.37,7010.35,4826.31
"P07900;P07900-2","P07900-2;P07900","HS90A_HUMAN","HSP90AA1","Heat shock protein HSP 90-alpha",4844.27,10392.5,13026,13923.8,8783.49,10917.9,11143,9525.05,5415.28,22177.3,7650.02,4054.55,11722.8,NA,7883.66,15965.5,12691.9,16661.6,10156.9,5369.06,22196.5,13837.4,9095.9,15450.7
"P07910;P07910-2;P07910-4","B2RXH8;B7ZW38;O60812;P07910-2;P07910-3;P07910-4;P07910;P0DMR1","HNRPC_HUMAN","HNRNPC","Heterogeneous nuclear ribonucleoproteins C1/C2",2658.23,1289.68,7676.13,10558.3,7048.02,7131.13,3685.38,5902.55,3394.71,5735.54,1889.08,3408.82,NA,6184.39,6476.88,13405.7,9341.67,6757.29,6674.88,3666.98,10837.1,6185.48,NA,8755.35
"P07919","P07919","QCR6_HUMAN","UQCRH","Cytochrome b-c1 complex subunit 6, mitochondrial",NA,NA,3712.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P07948-2","P07948-2;P07948","LYN_HUMAN","LYN","Isoform 2 of Tyrosine-protein kinase Lyn",11632.3,9897.76,111704,35850.2,6429.91,26898.9,25032,28754.9,13582,12254.3,4752.95,14038.5,18709.1,NA,8084.57,NA,27989.1,34367.3,NA,6142.48,NA,25723.7,8846.98,9412.28
"P07954;P07954-2","P07954-2;P07954","FUMH_HUMAN","FH","Fumarate hydratase, mitochondrial",NA,NA,6740.73,4229.28,NA,2186.39,NA,4421.78,5818.27,NA,4877.58,2474.47,NA,1390.89,2911.41,NA,4072.21,NA,NA,NA,3303.24,NA,NA,13085.7
"P07996","P07996-2;P07996","TSP1_HUMAN","THBS1","Thrombospondin-1",2013970,319791,6196740,3078540,487815,2156650,2394110,1716950,1909940,1189010,488942,2361450,1381620,994757,1051530,494555,1296090,2608300,251546,457294,1148320,2054300,359224,539107
"P07998","P07998","RNAS1_HUMAN","RNASE1","Ribonuclease pancreatic",48087.7,54172.8,18926.4,24374.2,32420.2,36417.9,31708.6,34348.1,51624.2,23630.8,58609.4,48934.4,20449.6,60401.5,38608.1,43486.9,24361.2,23302,44152.8,58031.5,43865.7,36649.5,29804.3,55278.7
"P08123","P08123","CO1A2_HUMAN","COL1A2","Collagen alpha-2(I) chain",3195.84,20795.6,9582.87,NA,16222.5,NA,1929.96,4074.73,6438.15,7887.6,1507.73,5629.57,3160.46,6587.62,6758.92,NA,NA,2351.32,3256.77,5269.52,23172.1,3700.97,5200.03,5968.71
"P08134","P08134","RHOC_HUMAN","RHOC","Rho-related GTP-binding protein RhoC",NA,NA,4471.92,3686.61,NA,NA,6722.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054.78,3376.31,NA,NA,NA,3087.22,NA,NA
"P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7","P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7;P08174","DAF_HUMAN","CD55","Complement decay-accelerating factor",NA,2701.54,10852.6,4515.75,7396.06,5609.78,5747.92,4712.65,NA,NA,NA,NA,17980.3,NA,NA,NA,9889.92,6777.34,2629.52,NA,NA,6500.93,3601.22,10178.6
"P08185","P08185","CBG_HUMAN","SERPINA6","Corticosteroid-binding globulin",22446.9,40833.7,14625,55741.7,40768.9,38639,37398,30138.8,26139.2,46394.7,32319.6,35957.9,26991,47306.4,31240.6,23631.6,31038.1,10496.3,50109.3,38187.5,31724,38812.5,30495.4,31172.5
"P08195;P08195-2;P08195-3;P08195-4;P08195-5","P08195-2;P08195-3;P08195-4;P08195-5;P08195","4F2_HUMAN","SLC3A2","4F2 cell-surface antigen heavy chain",NA,NA,5874.57,1945.53,NA,3727.9,2831.09,2962.48,4332.87,NA,2576.28,NA,NA,NA,913.373,2314.03,4083.43,3620.28,3399.34,3387.5,995.585,2416.02,2191.57,11831.8
"P08237;P08237-3","P08237-2;P08237-3;P08237","PFKAM_HUMAN","PFKM","ATP-dependent 6-phosphofructokinase, muscle type",NA,NA,8047.08,1784.77,NA,2370.65,NA,NA,NA,NA,NA,NA,NA,2267.71,NA,3697.23,4665.62,5026.38,2651.08,NA,4204.03,6720.42,NA,NA
"P08238","P07900-2;P07900;P08238;Q14568;Q58FF8","HS90B_HUMAN","HSP90AB1","Heat shock protein HSP 90-beta",24941.4,27018.7,36256.2,48220.6,18840.8,45367.1,32992.4,39316.6,29272.8,51615.7,21632.7,24028,32874,16760,15780.7,46077.8,64511.9,48850.2,28246.4,16797.4,42920.6,34414.8,26792.4,45036.6
"P08240","P08240-2;P08240","SRPRA_HUMAN","SRPRA","Signal recognition particle receptor subunit alpha",5634.27,5608.86,34550.3,9420.52,6171.75,7856.04,13545.6,9941.26,7404.65,6747.83,6267.72,9855.24,7483.9,11492.6,6529.82,NA,9842.81,12487,4344.33,NA,6489.29,15417.1,12375.4,NA
"P08246","P08246","ELNE_HUMAN","ELANE","Neutrophil elastase",4266.89,4617.98,NA,2264.24,14701.7,NA,NA,NA,16932.9,5705.61,3925.61,NA,NA,5300.41,5420.91,NA,1679.34,2748.97,NA,432.157,2933.03,5513.68,3858.67,6263.73
"P08253;P08253-2;P08253-3","P08253-2;P08253-3;P08253","MMP2_HUMAN","MMP2","72 kDa type IV collagenase",93356.4,103002,37478.5,62644.8,104047,70645.3,58384.3,46656.5,90687.8,23381.5,76940.3,118837,70677.1,54882.9,127664,55678.1,45844.2,50087.5,48551.1,45800.5,78343.8,71689.2,50792.6,44211.4
"P08263;P09210;Q16772;Q7RTV2","P08263;P09210;Q16772;Q7RTV2","GSTA1_HUMAN;GSTA2_HUMAN;GSTA3_HUMAN;GSTA5_HUMAN","GSTA1;GSTA2;GSTA3;GSTA5","Glutathione S-transferase A1",9748.06,NA,NA,NA,NA,10290.2,NA,NA,12516,9367.13,NA,25150.7,NA,NA,NA,3207.65,NA,NA,NA,NA,2755.19,NA,NA,NA
"P08294","P08294","SODE_HUMAN","SOD3","Extracellular superoxide dismutase [Cu-Zn]",8805.41,11315.9,4015.49,12518.6,15729.8,13518.3,6717.22,7159.25,10374.3,5108.62,14910.9,5031.68,6780.57,17956.7,14294.4,13903,6985.23,6862.55,15855,5970.58,9928,12859,11415,19474.6
"P08311","P08311","CATG_HUMAN","CTSG","Cathepsin G",208025,41378.6,63107.2,47187.1,62207.9,68076.6,45658.4,90256.4,207249,40216.6,37811.2,103752,56897.9,47244,85328.8,84437.5,32531.1,56716.2,36192,32554.3,82399.4,71201.3,62757.9,47712.9
"P08319;P08319-2","P08319-2;P08319","ADH4_HUMAN","ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4",8378.92,12915.1,6561.52,21613.5,6561.43,71785.8,312170,36903.9,11727,523351,8623.19,13114.1,16835.7,9514.76,17875.7,27083.5,8291.13,31732.3,24452.9,14962.6,14307.2,97226,17298,20943.1
"P08476","P08476","INHBA_HUMAN","INHBA","Inhibin beta A chain",22868.2,6709.36,1784.4,7030.04,13695.5,9275.54,17482.4,16481.7,19242,8046.07,18194.9,15458.7,4148.49,12650.9,12166.2,12822,7183.78,6083.32,21090.3,8239.34,3498.72,9492.62,8668.72,14241
"P08493;P08493-2","P08493-2;P08493","MGP_HUMAN","MGP","Matrix Gla protein",148103,118816,69044.8,58237.8,82351.4,87670.6,129862,79340.1,148872,70456.2,144096,78108.7,103928,138383,130933,103809,39946,46649.7,76420.9,47697.3,77561.5,106503,58485.3,106524
"P08514","P08514-2;P08514-3;P08514","ITA2B_HUMAN","ITGA2B","Integrin alpha-IIb",403206,258855,4818860,1329620,271439,1113810,1406410,1147330,380787,349613,146511,205628,903232,104035,123223,129238,1122550,1803310,135688,33668.4,168764,1046950,264072,139845
"P08519","P08519","APOA_HUMAN","LPA","Apolipoprotein(a)",560067,160851,314852,107968,1067740,463108,87703.4,94029.2,554638,67502.3,647585,101698,95445.1,1417040,88686.4,780766,101769,265532,404887,964982,33483.9,441423,907828,724618
"P08559;P08559-2;P08559-3;P08559-4","P08559-2;P08559-3;P08559-4;P08559","ODPA_HUMAN","PDHA1","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",NA,NA,19202.3,4167.6,1538.8,5613.72,5705.1,4980.13,NA,NA,1430.36,NA,NA,NA,NA,NA,NA,6638.45,NA,NA,NA,2753.02,NA,NA
"P08567","P08567","PLEK_HUMAN","PLEK","Pleckstrin",130608,106288,1294200,565976,100507,312763,347371,402690,131278,94859,74879.4,53923.2,257772,28057.7,53613.4,40064.6,383985,794778,38527.8,15690.6,48476.1,301475,76669.7,39064.6
"P08571","P08571","CD14_HUMAN","CD14","Monocyte differentiation antigen CD14",69810,68686.2,55232.9,71172.3,98963.6,92500.7,102177,146194,72842.8,82909.3,99157.9,50375.3,63531.3,85274.8,121659,60234.5,113687,81107.5,78710.8,137175,79435.5,94459.7,36308.6,60806
